1 input_13_2_1 Attacking three targets.asc  Jan 22 2018 17:05:25
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
290.554         6957.28         0.0755113       -5.6611         -0.00254187     
-0.0255796      1360            11145.7         0.00242707      0.530775        
0               0               2.72715         0.0496665       2.23678         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               0.495081        5.8128e-006     
4.49801e-007    -1.46252e-007   0.000826624     0.000798567     -0.00298121     
0.060367        -0.0312608      0.00983629      3.74698         -5.72977        
6.69456         1.4174          0.200931        0.200931        1.4174          
21.8699         -6.3067         2               0               0               
0.000101635     0.021257        0.0911083       0               0               
0               0               34342           0               0               
100             9               1               
78.403          0               1.23372         56030.4         -3.4503         
19.8983         -0.000877275    28.3808         -33.1544        -0.0133015      
1.13306         -128.489        -0.705246       -0.88686        0.164476        
-1.50092        0.255315        28818.5         7754.41         -4886.27        
403.558         4886.27         30.5542         -31.9412        -0.165621       
0.205152        1110            0               250.005         0.673208        
0               0               4.7546          0.0572015       2.70065         
3               0               -0.00658525     0.00166259      -0.184335       
0.0479441       0.18957         2.88948         0               6.71281e-005    
-0.00754245     -0.080022       0.0208996       -1.91841        5.74804e-006    
9.14132e-007    -9.0307e-007    0.00259395      -0.0024993      -0.0024135      
0.132576        -0.361753       -0.50587        7.04431         -21.568         
-15.6836        -2.89289        0.794457        2.48345         -9.04309        
3.04554         -11.0476        2               0               0               
7.91681e-005    0.406893        -0.472193       0               0               
0               0               6881.13         0               0               
100             9               1               
95.826          2               1.14516         83439.6         -1.68592        
0.71323         -0.0807597      33.1276         -44.8296        0.45639         
3.12682         13.9025         3.03556         0.750971        -0.78693        
1.52169         -2.67786        32999.8         10479.4         -99.7981        
390.558         99.7981         34.558          -47.9842        1.0894          
-0.276608       1110            0               250.005         0.745994        
0               0               6.37506         0.0703343       1.68371         
3               0               0.00948194      -0.025539       0               
0               0.0556026       -3.08234        0               0.0261639       
0.00758355      0               0               0.456009        -3.64457e-006   
-1.83617e-006   -3.28225e-007   0.00571279      0.00429152      -0.0109069      
0.249635        -0.386379       -0.519092       10.086          -28.1052        
-24.5002        0.658844        -0.00499405     -0.00499405     0.658844        
3.04554         -11.0476        2               0               0               
-0.00423061     -1.64284        0.716506        0.388229        -0.333479       
0.19878         0               0.404481        0               0               
100             9               1               
3.002           0               0.936233        25163.1         -2.49955        
23.1401         0.021941        -4.82787        -5.62392        0.0102037       
0.320499        95.1007         -0.0281095      0.314914        -0.009647       
-1.90137        0.0537247       873.977         1.55957         -6957.28        
290.554         6957.28         0.0744464       -5.66089        -0.00255861     
-0.0260212      1360            11145.7         0.00242707      0.530807        
0               0               2.72745         0.0496664       2.2363          
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               -2.57122        1.3015e-005     
2.10735e-006    1.00362e-005    0.00104516      0.00146027      -0.00271999     
0.0521318       -0.0251327      -0.00809022     3.97939         0.416152        
-14.5817        1.41788         0.198502        0.198502        1.41788         
21.8231         -6.34458        2               0               0               
0.000105184     0.0212078       0.093064        0               0               
0               0               34342           0               0               
100             10              1               
78.403          0               1.23425         56144.1         -3.10865        
19.5674         -0.262054       28.3793         -33.2145        0.00879994      
1.09675         -125.253        -0.631349       -0.893149       0.200764        
-1.47071        0.32054         28817.6         7737.85         -4876.48        
403.753         4876.48         30.5436         -32.0746        -0.149133       
0.20697         1110            0               250.005         0.671952        
0               0               4.75114         0.0572513       2.70968         
3               0               -0.00675547     0.0015818       -0.182151       
0.0496238       0.189552        2.87794         0               0.00053141      
-0.00568287     -0.0796917      0.0212687       -5.73896        1.3413e-005     
3.13741e-006    7.76356e-006    0.00105944      0.00514307      -0.00329599     
0.277076        0.0848667       -0.40294        18.998          -1.37919        
-28.7874        -2.88837        0.810741        2.53049         -9.01521        
2.95623         -11.1262        2               0               0               
0.000165159     0.381428        -0.470999       0               0               
0               0               6881.25         0               0               
100             10              1               
95.817          2               1.145           83415           -1.7655         
0.687589        -0.00780043     33.7984         -44.758         0.416312        
2.95885         10.4815         2.90978         0.538078        -0.565051       
1.34553         -2.3583         32999.7         10479.3         -99.9444        
390.507         99.9444         34.912          -47.7858        1.03617         
-0.190609       1110            0               250.005         0.741841        
