1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-3.39925e-006   -5.63998e-006   0.00436167      -0.00150825     -1.47312e-005   
-0.429663       -0.407298       -0.157313       -25.1563        -24.5501        
-32.6913        -2.98734        0.275298        0.943301        -10.2361        
1.27567         -12.8017        2               0               0               
2.40027e-005    0.184996        -0.428239       0               0               
0               0               6886.3          0               0               
100             4               1               
97.397          2               1.09985         84785.3         0               
0               0               30.1776         -45.234         0.130149        
3.01459         4.11537         3.00682         0.216242        -0.319898       
2.1406          -1.02069        33339.8         9760.18         -99.8663        
373.848         99.8663         30.4934         -48.2425        1.08508         
-0.0780394      1110            0               250.005         0.759238        
0               0               6.50974         0.0744875       1.70021         
3               0               0.0125643       -0.00792805     0               
0               0.0566529       3.08428         0               0.007223        
0.0131639       0               0               3.33715         -1.05231e-005   
1.59518e-006    8.05748e-006    0.00911337      9.84545e-005    -0.00578163     
-0.411856       -0.393217       -0.0348554      -32.6979        -32.0579        
-34.2158        0.653067        -0.00201258     -0.00201258     0.653067        
1.27567         -12.8017        2               0               0               
-0.00161003     -1.69893        0.246038        0.244321        -0.243798       
-0.0159868      0               0.200751        0               0               
100             4               1               
3.002           0               0.929893        25030           0               
0               0               -0              -5.69846        0.0111662       
0.041683        177.883         -0.0412079      0.00152299      0.000206622     
