1 input_9_1_1 AGM6 Test Case.asc  ' AGM66 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-11.7285        -2.81195        1.04544         3.44811         -9.27452        
4.24311         -11.3607        2               0               0               
4.95528e-005    0.380783        -0.49246        0               0               
0               0               6882.05         0               0               
100             4               1               
96.025          2               1.14203         82985.8         -1.98426        
0.536747        0.239074        33.97           -44.6188        0.132159        
2.74095         1.21304         2.73999         0.0579961       -0.110318       
0.262553        -1.66972        33333.6         9758.24         -99.7515        
389.483         99.7515         34.3858         -47.4756        0.968549        
0.00127166      1110            0               250.005         0.740095        
0               0               6.29819         0.0704889       1.86515         
3               0               -0.000609923    -0.0166086      0               
0               0.0610038       3.12316         0               0.0166897       
0.000283207     0               0               1.18199         -5.58367e-006   
-5.29524e-007   -2.77569e-006   -0.00372771     0.00144257      0.0049276       
0.177099        0.0704084       0.280351        25.5434         15.7792         
-7.03933        0.656381        -0.00177304     -0.00177304     0.656381        
4.24311         -11.3607        2               0               0               
-0.00260011     -1.42489        0.249774        0.218652        -0.107747       
0.190261        0               0.41048         0               0               
100             4               1               
3.002           0               0.936232        25163           -2.46701        
23.5125         -0.0104629      -4.81511        -5.62017        0               
0.306347        94.6942         -0.0248615      0.302769        -0.00881422     
-1.90243        0.0462151       873.977         1.56613         -6957.28        
290.554         6957.28         0.0750205       -5.66035        -0.00212889     
-0.024112       1360            11145.7         0.00242707      0.530723        
0               0               2.72667         0.0496667       2.23757         
2.26521         0               0               0               0               
0               0               0               0               0               
0               0               0               -3.37879        5.86032e-006    
-3.30134e-006   8.33618e-006    -0.000651958    -2.65615e-005   -0.00134786     
-0.0289505      -0.0196493      -0.0674323      3.7147          -3.22573        
-15.0393        1.41696         0.179963        0.179963        1.41696         
21.7736         -6.42739        2               0               0               
0.000146699     0.0227183       0.114402        0               0               
0               0               34333.7         0               0               
100             5               1               
78.493          0               1.23149         55843.2         -3.61286        
20.0438         0.123543        26.4783         -32.8344        -0.0570496      
1.16186         -124.319        -0.654604       -0.958827       0.224877        
-1.43351        0.36168         29062.4         7106.69         -4884.02        
402.3           4884.02         28.6034         -31.7247        -0.154638       
0.220334        1110            0               250.005         0.674897        
0               0               4.7568          0.057194        2.69391         
3               0               -0.00640599     0.00258497      -0.190297       
0.0712311       0.203881        2.78757         0               -4.41319e-005   
-0.00610949     -0.0837783      0.0296892       -6.44385        6.30739e-006    
-2.52364e-006   6.7014e-006     -8.59139e-005   0.000389963     0.000711179     
-0.301007       -0.0817864      -0.456935       -12.8097        -11.4322        
-41.8335        -2.81216        1.04487         3.50408         -9.43084        
4.32146         -11.4445        2               0               0               
0.000137293     0.384901        -0.504339       0               0               
0               0               6882.04         0               0               
100             5               1               
96.028          2               1.14191         82965.3         -1.5773         
0.732757        -0.173054       32.8073         -44.3516        0.488487        
3.18614         13.4553         3.09886         0.741013        -0.903366       
1.4129          -3.07374        33333.1         9758.2          -99.9791        
389.436         99.9791         34.2059         -47.5703        1.10994         
-0.271601       1110            0               250.005         0.748921        
0               0               6.38237         0.0703197       1.66318         
3               0               0.0107225       -0.0327575      0               
0               0.0607355       3.01985         0               0.0311796       
0.0141552       0               0               -2.66644        -1.01321e-006   
-1.3943e-005    -5.12787e-007   -0.00312543     0.00177606      -0.0056343      
-0.366825       -0.0412209      -0.427285       -18.6026        -12.1332        
-49.2011        0.660739        -0.00588744     -0.00588744     0.660739        
4.32146         -11.4445        2               0               0               
-0.00513739     -1.66146        0.716559        0.471209        -0.388699       
0.266367        0               0.465259        0               0               
100             5               1               
3.002           0               0.936232        25163.1         -2.49609        
23.179          0.0180332       -4.82559        -5.62287        0.026775        
