TITLE SRBM Trajectory Tables Ballistic

Rocket trajectory from launch SAEL(1Km, -250Km, 0) to impact at (1000m, 6460m, 0)
1. Table: time_vs_descent_altitude
    time starting at apogee with 0 towards impact at 215 sec
	(must be loaded in increasing altitudes)
2. Table: x_vs_launch_time of rocket
    North component
3. Table: y_vs_launch_time of rocket
    East component
4. Table: z_vs_launch_time of rocket
    Down component

XCEL Notes:
	Invert column from smallest to largest: -> right click -> sort -> ...

1DIM apotime_vs_descent_altitude
NX1 216  //time since apogee in sec vs descent altitude in meter
342	-163316
343	-162494
344	-161664
345	-160824
346	-159974
347	-159115
348	-158247
349	-157370
350	-156483
351	-155587
352	-154681
353	-153766
354	-152842
355	-151908
356	-150965
357	-150013
358	-149051
359	-148080
360	-147099
361	-146109
362	-145110
363	-144101
364	-143083
365	-142056
366	-141019
367	-139973
368	-138917
369	-137852
370	-136777
371	-135693
372	-134600
373	-133497
374	-132385
375	-131264
376	-130133
377	-128992
378	-127842
379	-126683
380	-125514
381	-124336
382	-123149
383	-121952
384	-120745
385	-119529
386	-118304
387	-117069
388	-115824
389	-114570
390	-113307
391	-112034
392	-110752
393	-109460
394	-108159
395	-106848
396	-105528
397	-104198
398	-102859
399	-101510
400	-100152
401	-98784
402	-97406.6
403	-96019.8
404	-94623.4
405	-93217.4
406	-91802
407	-90377
408	-88942.4
409	-87498.3
410	-86044.6
411	-84581.4
412	-83108.7
413	-81626.3
414	-80134.4
415	-78632.9
416	-77121.9
417	-75601.2
418	-74071
419	-72531.2
420	-70981.9
421	-69422.9
422	-67854.4
423	-66276.3
424	-64688.6
425	-63091.4
426	-61484.6
427	-59868.3
428	-58242.5
429	-56607.2
430	-54962.4
431	-53308.2
432	-51644.6
433	-49971.6
434	-48289.5
435	-46598.2
436	-44897.8
437	-43188.7
438	-41470.9
439	-39744.8
440	-38010.8
441	-36269.5
442	-34521.5
443	-32767.8
444	-31009.8
445	-29249.1
446	-27487.9
447	-25729.2
448	-23976.5
449	-22234.9
450	-20510.4
451	-18810.6
452	-17144.7
453	-15523
454	-13956.7
455	-12457.8
456	-11037.4
457	-9704.48
458	-8462.85
459	-7312.77
460	-6253.51
461	-5282.56
462	-4395.54
463	-3587.73
464	-2853.45
465	-2186.07
466	-1579.06
467	-1027
468	-524.405
469	0
	
	

	
	
